Category,Category Type, 2024_Count,2029_Projected_Count,2034_Projected_Count
Industry,Accommodation and Food Services,929.9,984.8,1040.6
Industry,Administrative and Support Services,437.6,452.5,474.4
Industry,"Agriculture, Forestry and Fishing",322.8,330.2,345.6
Industry,Arts and Recreation Services,270.5,284.6,300.7
Industry,Construction,1357.7,1452.8,1520.3
Industry,Education and Training,1210.2,1281.8,1360.3
Industry,"Electricity, Gas, Water and Waste Services",184.2,197.4,209.2
Industry,Financial and Insurance Services,529.9,571,608
Industry,Healthcare and Social Assistance,2260.4,2543.5,2845.3
Industry,Information Media and Telecommunications,191.1,203.8,219.2
Industry,Manufacturing,909.1,907.3,959.3
Industry,Mining,300.4,307.3,326.4
Industry,Other Services,525.5,544.1,571.8
Industry,"Professional, Scientific and Technical Services",1324.6,1469.1,1579.1
Industry,Public Administration and Safety,941.8,983,1034.1
Industry,"Rental, Hiring and Real Estate Services",226.2,245.1,260.8
Industry,Retail trade,1320.3,1366.8,1420.1
Industry,"Transport, Postal and Warehousing",736.9,773.9,812.6
Industry,Wholesale Trade,384.2,411.6,437.6
Occupation,Clerical and Administrative Workers,1855.1,1923.7,2029.6
Occupation,Community and Personal Service Workers,1666.1,1812.1,1960.7
Occupation,Labourers,1217.9,1227.9,1272.4
Occupation,Machinery Operators and Drivers,920.2,960,1007.7
Occupation,Managers,1856.9,2008.4,2148.1
Occupation,Professionals,3763.2,4173.1,4548.3
Occupation,Sales Workers,1116.1,1155.9,1204.1
Occupation,Technicians and Trades Workers,1967.8,2049.5,2154.6
State,NSW,4473.5,4709.6,4996.7
State,VIC,3724.8,4040.4,4352.5
State,QLD,2929.2,3129.7,3324.3
State,WA,1600.3,1711.5,1826.9
State,SA,945,979.9,1035.1
State,TAS,285.9,300.6,317.4
State,NT,136.1,145.8,155.5
State,ACT,268.5,293.2,317.1
