Quarter,All employers,Major Cities of Australia,Inner Regional Australia,"Outer Regional, Remote and Very Remote Australia",New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
Sep-20,0.32,0.3,0.35,0.39,0.31,0.21,0.38,0.33,0.44,0.36,0.34,0.4
Dec-20,0.44,0.4,0.5,0.53,0.45,0.34,0.48,0.42,0.52,0.53,0.46,0.47
Mar-21,0.45,0.43,0.48,0.52,0.44,0.43,0.48,0.44,0.48,0.44,0.51,0.46
Jun-21,0.48,0.45,0.52,0.57,0.49,0.38,0.54,0.45,0.54,0.54,0.63,0.47
Sep-21,0.39,0.37,0.42,0.48,0.31,0.37,0.47,0.41,0.49,0.43,0.67,0.49
Dec-21,0.48,0.47,0.48,0.55,0.47,0.43,0.53,0.5,0.52,0.46,0.62,0.49
Mar-22,0.53,0.52,0.56,0.55,0.53,0.56,0.53,0.47,0.53,0.43,0.56,0.5
Jun-22,0.58,0.56,0.63,0.57,0.57,0.58,0.6,0.49,0.55,0.58,0.65,0.59
Sep-22,0.57,0.56,0.6,0.58,0.55,0.6,0.59,0.52,0.54,0.52,0.76,0.61
Dec-22,0.56,0.56,0.56,0.59,0.56,0.54,0.56,0.55,0.6,0.57,0.71,0.62
Mar-23,0.55,0.54,0.56,0.63,0.57,0.53,0.6,0.49,0.53,0.5,0.58,0.58
Jun-23,0.5,0.48,0.53,0.57,0.48,0.47,0.56,0.44,0.5,0.43,0.65,0.5
Sep-23,0.48,0.47,0.49,0.55,0.48,0.43,0.54,0.47,0.55,0.44,0.67,0.51
Dec-23,0.5,0.47,0.57,0.55,0.49,0.47,0.55,0.46,0.49,0.49,0.67,0.54
Mar-24,0.49,0.46,0.54,0.54,0.45,0.46,0.56,0.45,0.52,0.5,0.7,0.55
Jun-24,0.45,0.43,0.52,0.47,0.44,0.42,0.48,0.46,0.48,0.44,0.7,0.51
Sep-24,0.44,0.42,0.48,0.5,0.44,0.37,0.52,0.36,0.51,0.43,0.66,0.44
Dec-24,0.43,0.41,0.46,0.49,0.39,0.39,0.49,0.39,0.54,0.48,0.6,0.43
Mar-25,0.46,0.44,0.47,0.54,0.44,0.39,0.53,0.52,0.5,0.47,0.61,0.45
Jun-25,0.47,0.46,0.47,0.55,0.47,0.41,0.54,0.45,0.54,0.51,0.65,0.42
